RPSCat,st,t,Value
RPS_All,LA,2026,851015.179322
RPS_All,PA,2026,1648939.184971
RPS_All,MD,2026,845944.14835
RPS_All,DE,2026,604955.186548
RPS_All,NJ,2026,1521062.077093
RPS_All,NY,2026,7450822.454916
RPS_All,NY,2029,9943091.048314
RPS_All,VT,2026,1054369.461297
RPS_All,VT,2029,1039072.609559
RPS_All,NH,2026,342811.600474
RPS_All,NH,2029,334472.637994
RPS_All,MA,2026,1335493.349604
RPS_All,CT,2026,390091.069547
RPS_All,CT,2029,481753.415204
RPS_All,RI,2026,242659.581285
RPS_All,RI,2029,461516.315388
RPS_All,ME,2026,772914.078924
CES,VT,2041,1698147.754147
CES,VT,2044,1729697.103694
CES,VT,2047,1768183.993505
CES,VT,2050,1801001.900524
